3-D Digital Imaging and Modelling [3DIM],20
A Satellite workshop on Formal Approaches to Testing of Software [FATES],20
Accounting and Finance Association of Australia and New Zealand Conference [AFAANZ],20
"ACIS Conference on Software Engineering Research, Management and Applications [SERA]",20
ACM Annual Computer Science Conference [CSC],20
"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication [SIGCOMM]",200
ACM Conference on Computer and Communications Security [CCS],200
ACM Conference on Computer Supported Cooperative Work [CSCW],140
ACM Conference on Economics and Computation [EC],200
ACM Conference on Embedded Networked Sensor Systems [SENSYS],200
ACM Conference on Embedded Software [EMSOFT],140
ACM Conference on Hypertext and Hypermedia [Hypertext],140
ACM Conference on Object Oriented Programming Systems Languages and Applications [OOPSLA],200
ACM Digital Rights Management Workshop [DRM],20
ACM Information Technology Education [SIGITE],20
ACM International Conference on Advances in Geographic Information Systems [SIGSPATIAL],140
ACM International Conference on Advances in Computer Entertainment [ACE],70
ACM International Conference on Emerging Networking Experiments and Technologies [CoNEXT],140
ACM International Conference on Information and Knowledge Management [CIKM],140
"ACM International Conference on Knowledge Discovery and Data Mining [KDD]
(ACM International Conference on Knowledge Discovery and Data Mining [SIGKDD])",200
ACM International Conference on Mobile Computing and Networking [MOBICOM],200
ACM International Conference on Recommender Systems [RecSys],70
ACM International Conference on Research and Development in Information Retrieval [SIGIR],200
ACM International Conference on Supercomputing [ICS],140
ACM International Conference on Web Search and Data Mining [WSDM],200
ACM International Symposium on Computer Architecture [ISCA],200
ACM International Symposium on High Performance Distributed Computing [HPDC],140
ACM International Wireless Communications and Mobile Computing Conference [IWCMC],70
ACM International Workshop On Multimedia Databases [MMDB],20
ACM Multimedia [ACMMM],200
ACM SIG International Conference on Computer Graphics and Interactive Techniques [SIGGRAPH],200
"Measurement and Modeling of Computer Systems [SIGMETRICS]
(ACM SIG on Computer and Communications Metrics and Performance [SIGMETRICS])",200
ACM SIGCHI_NZ Conference on Human-Computer Interaction [SIGCHI-NZ],70
ACM SIGGRAPH/Eurographics Symposium on Computer Animation [SCA],70
ACM SIGIR Workshop on XML and Information Retrieval [SIGIR/XML],20
"International Conference on Multimedia Retrieval [ICMR]
(ACM on International Conference on Multimedia Retrieval (previously MIR) [ICMR])",70
"ACM SIGMOBILE International Conference on Mobile Systems, Applications and Services [Mobisys]",70
ACM SIGMOD-SIGACT-SIGART Conference on Principles of Database Systems [PODS],200
ACM SIGOPS Symposium on Operating Systems Principles [SOSP],200
"ACM SIGPLAN Conference on Languages, Tools, and Compilers for Embedded Systems [LCTES]",140
ACM SIGPLAN Workshop on Partial Evaluation and Program Manipulation [PEPM],70
ACM SIGPLAN Workshop on Types in Language Design and Implementation (was TIC) [TLDI],20
European Software Engineering Conference and the ACM SIGSOFT Symposium on the Foundations of Software Engineering [ESEC/FSE],200
ACM SIGSOFT Workshop on Program Analysis for Software Tools and Engineering [PASTE],70
ACM SIGUCCS Conference on User Services [SIGUCCS],20
ACM Special Interest Group on Computer Science Education Conference [SIGCSE],140
ACM Special Interest Group on Management of Data Conference [SIGMOD],200
ACM Special Interest Group on Supporting Group Work (was SIGGRoup) [Group],70
"ACM Symposium on Mobile Ad Hoc Networking and Computing [MOBIHOC]
(ACM Symposium of Mobile and Ad Hoc Computing [MOBIHOC])",140
ACM Symposium on Applied Computing [SAC],70
"International Symposium on Computational Geometry [SoCG]
(ACM Symposium on Computational Geometry [SCG])",140
"Asia Conference on Information, Computer and Communications Security [AsiaCCS]
(ACM Symposium on Information, Computer and Communications Security [AsiaCCS])",70
ACM Symposium on Principles of Database Systems [SPDS],20
ACM Symposium on Principles of Distributed Computing [PODC],200
ACM Symposium on Solid and Physical Modelling [SPM],70
ACM Symposium on Theory of Computing [STOC],200
ACM Symposium on User Interface Software and Technology [UIST],140
ACM Virtual Reality Software and Technology [VRST],140
ACM Workshop on Formal Methods in Security Engineering: From Specifications to Code [FMSE],20
ACM Workshop on Hot Topics in Networks [HOTNETS],140
ACM Workshop on Hot Topics in Software Upgrades [HotSWUp],20
ACM Workshop on Scalable Trusted Computing [STC],70
ACM Workshop on Secure Web Services [SWS],20
ACM Workshop on Web Information and Data Management [WIDM],70
ACM/IEEE International Conference on Distributed Smart Cameras [ICDSC],70
"ACM/IEEE International Conference on Modelling, Analysis and Simulation of Wireless and Mobile Systems [MSWIM]",140
"International Conference for High Performance Computing, Networking, Storage and Analysis [SC]
(ACM/IEEE Supercomputing Conference [SC])",140
"ACM SIGSIM Conference on Principles of Advanced Discrete Simulation [PADS]
(ACM/IEEE/SCS Workshop on Parallel and Distributed Simulation [PADS])",70
ACM/IFIP/USENIX International Middleware Conference [Middleware],140
ACM/SIAM Symposium on Discrete Algorithms [SODA],200
ACM/SPIE Multimedia Computing and Networking [MMCN],140
ACM-SIGACT Symposium on Principles of Programming Languages [POPL],200
ACM-SIGMIS CPR Conference [ACM-SIGMIS CPR],70
ACM-SIGPLAN Conference on Programming Language Design and Implementation [PLDI],200
"ACM-SIGRAPH Interactive 3D Graphics and Games [I3DG]
(ACM-SIGRAPH Interactive 3D Graphics [I3DG])",70
ACS/IEEE International Conference on Computer Systems and Applications [AICCSA],20
Active and Real-Time Database Systems [ARTDB],20
Advanced Concepts for Intelligent Vision Systems [ACIVS],70
Advanced Course on Artificial Intelligence [ACAI],20
Advanced Research in VLSI [ARVLSI],20
IEEE International Conference on Advanced Video and Signal Based Surveillance [AVSS],70
Advanced Visual Interfaces [AVI],70
Advances in Cryptology [CRYPTO],200
Advances in Information Systems [ADVIS],20
